PNaLTW50fxM,60.000,70.000,Truck
WdubBeFntYQ,460.000,470.000,Truck
kr8ssbrDDMY,30.000,40.000,Truck
n4o1r8Ai66o,30.000,40.000,Truck
pt-J_L-OFI8,0.000,10.000,Truck
tuplsUUDXKw,30.000,40.000,Truck
yk5LqHTtHLo,30.000,40.000,Truck
9N1iw5Vdim8,20.000,30.000,Motorcycle
ANWU9Hiy_5k,40.000,50.000,Motorcycle
BTNz6NftP34,30.000,40.000,Motorcycle
#NAME,#NAM,#NAME,Train
3RfrTU1p5SA,500.000,510.000,Train
3YJewEC-NWo,30.000,40.000,Train
53oq_Otm_XI,30.000,40.000,Train
7W_kcu0CJqI,310.000,320.000,Train
AFhll08KM98,30.000,40.000,Train
APsvUzw7bWA,60.000,70.000,Train
LzcNa3HvD7c,30.000,40.000,Train
WDn851XbWTk,30.000,40.000,Train
Zy0goYEHPHU,30.000,40.000,Train
hVvtTC9AmNs,30.000,40.000,Train
hdYQzH2E-e4,310.000,320.000,Train
pW5SI1ZKUpA,30.000,40.000,Train
z5uKFGeTtNg,30.000,40.000,Train
1BgqrhbyRFw,30.000,40.000,Car
2fi0m8ei_B4,30.000,40.000,Car
3YChVhqW42E,130.000,140.000,Car
B3SkK0wuOhY,130.000,140.000,Car
HHlb-h2Pc7o,30.000,40.000,Car
NoPbk9fy6uw,10.000,20.000,Car
02Ak1eIyj3M,30.000,40.000,Civil defense siren
0N0C0Wbe6AI,30.000,40.000,Ambulance (siren)
2-h8MRSRvEg,30.000,40.000,Ambulance (siren)
6rXgD5JlYxY,30.000,40.000,Ambulance (siren)
8DaEd5KbnnA,80.000,90.000,Fire engine, fire truck (siren)
AwFuGITwrms,30.000,40.000,Fire engine, fire truck (siren)
Daqv2F6SEmQ,30.000,40.000,Ambulance (siren)
GORjnSWhZeY,30.000,40.000,Fire engine, fire truck (siren)
JpLA7HY9r3Y,30.000,40.000,Fire engine, fire truck (siren)
KumYcZVLOVU,350.000,360.000,Civil defense siren
W8fIlauyJkk,30.000,40.000,Ambulance (siren)
WvquSD2PcCE,30.000,40.000,Bicycle
ZlS4vIWQMmE,0.000,10.000,Fire engine, fire truck (siren)
ZyuX_gMFiss,30.000,40.000,Ambulance (siren)
_43OOP6UEw0,30.000,40.000,Skateboard
